FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,MIDWAY INT'L AIRPORT (3910),Air,Travelers,Air,34803
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,"PEORIA, IL (3902)",Air,Conveyances,Air,11
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,"PEORIA, IL (3902)",Air,Travelers,Air,59
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,ROCKFORD AIRPORT (3909),Air,Conveyances,Air,24
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,ROCKFORD AIRPORT (3909),Air,Travelers,Air,371
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,WAUKEGAN AIRPORT (3981),Air,Conveyances,Air,12
2022,FYTD,APR,Coastal/Interior,CHICAGO,IL,WAUKEGAN AIRPORT (3981),Air,Travelers,Air,100
2022,FYTD,APR,Coastal/Interior,CHICAGO,IN,FORT WAYNE AIRPORT (4183),Air,Conveyances,Air,4
2022,FYTD,APR,Coastal/Interior,CHICAGO,IN,FORT WAYNE AIRPORT (4183),Air,Travelers,Air,12
2022,FYTD,APR,Coastal/Interior,CHICAGO,IN,"INDIANAPOLIS, IN (4110)",Air,Conveyances,Air,209
2022,FYTD,APR,Coastal/Interior,CHICAGO,IN,"INDIANAPOLIS, IN (4110)",Air,Travelers,Air,2691
2022,FYTD,APR,Coastal/Interior,CHICAGO,IN,SOUTH BEND INTL ARPT SBN (3986),Air,Conveyances,Air,14
2022,FYTD,APR,Coastal/Interior,CHICAGO,IN,SOUTH BEND INTL ARPT SBN (3986),Air,Travelers,Air,70
2022,FYTD,APR,Coastal/Interior,CHICAGO,KS,"WICHITA, KS (4504)",Air,Conveyances,Air,25
2022,FYTD,APR,Coastal/Interior,CHICAGO,KS,"WICHITA, KS (4504)",Air,Travelers,Air,127
2022,FYTD,APR,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Conveyances,Air,22
2022,FYTD,APR,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Travelers,Air,140
2022,FYTD,APR,Coastal/Interior,CHICAGO,KY,"LOUISVILLE, KY (4115)",Air,Conveyances,Air,316
2022,FYTD,APR,Coastal/Interior,CHICAGO,KY,"LOUISVILLE, KY (4115)",Air,Travelers,Air,943
2022,FYTD,APR,Coastal/Interior,CHICAGO,MN,"DULUTH, MN (3510)",Air,Conveyances,Air,11
2022,FYTD,APR,Coastal/Interior,CHICAGO,MN,"DULUTH, MN (3510)",Air,Travelers,Air,51
2022,FYTD,APR,Coastal/Interior,CHICAGO,MN,"MINNEAPOLIS-ST. PAUL, MN (3501)",Air,Conveyances,Air,479
2022,FYTD,APR,Coastal/Interior,CHICAGO,MN,"MINNEAPOLIS-ST. PAUL, MN (3501)",Air,Travelers,Air,75827
